pio,port,pin,bga_coord,flexio_data,mux_alt,route_signals,pin_name,board_primary_assignment,board_on_board_pin,board_description,board_summary_1,board_summary_2,board_summary_3,board_summary_4,board_flexio_lcd,board_ezh_camera,board_arduino,board_mikroe,board_pmod
P0_8,0,8,C12,0,ALT0,"D0, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_8/FC0_P4/CT_INP0/FLEXIO0_D0/ADC0_B8,FLEXIO,,FXIO_LCD_RD,FLXIO/LCD,,,,LCD_RD,,,,
P0_9,0,9,A12,1,ALT0,"D1, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_9/FC0_P5/CT_INP1/FLEXIO0_D1/ADC0_B9,FLEXIO,,FXIO_LCD_WR,FLXIO/LCD,,,,LCD_WR,,,,
P0_10,0,10,B12,2,ALT0,"D2, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_10/FC0_P6/CT0_MAT0/FLEXIO0_D2/ADC0_B10,EZH,,EZH_CAMERA_VSYNC,,Arduino,,,,,CT0_MAT0-ARD_D9,,
P0_11,0,11,B11,3,ALT0,"D3, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_11/CT0_MAT1/FLEXIO0_D3/HSCMP2_OUT/ADC0_B11,EZH,,EZH_CAMERA_HSYNC,EZH/CAMERA,,,,,EZH_CAMERA_HSYNC,,,
P0_12,0,12,D11,4,ALT0,"D4, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_12/FC1_P4/FC0_P0/CT0_MAT2/FLEXIO0_D4/ADC0_B12,FLEXIO,,FXIO_LCD_CS,FLXIO/LCD,,,,LCD_CS,,,,
P0_13,0,13,F12,5,ALT0,"D5, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_13/FC1_P5/FC0_P1/CT0_MAT3/FLEXIO0_D5/ADC0_B13,FLEXIO,,FXIO_LCD_TE,FLXIO/LCD,,,,LCD_TE,,,,
P0_14,0,14,E11,6,ALT0,"D6, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_14/FC1_P6/FC0_P2/CT_INP2/UTICK_CAP0/FLEXIO0_D6/ADC0_B14,EZH,,EZH_CAMERA_PCLK,,Arduino,,,,,ARD_A2,,
P0_15,0,15,G13,7,ALT0,"D7, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_15/FC0_P3/CT_INP3/UTICK_CAP1/FLEXIO0_D7/ADC0_B15,Micro E,,MicroE_ADC,,Arduino,,,,,ARD_A4,,
P0_16,0,16,B10,0,ALT0,"D0, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_16/WUU0_IN2/FC0_P0/CT0_MAT0/UTICK_CAP2/FLEXIO0_D0/PDM0_CLK/I3C0_SDA/TSI0_CH11/ADC0_A8,Micro E,,I2C_SDA,,PMOD,,,,,,,PMOD_FC0_SPI_MOSI
P0_17,0,17,A10,1,ALT0,"D1, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_17/FC0_P1/CT0_MAT1/UTICK_CAP3/FLEXIO0_D1/PDM0_DATA0/I3C0_SCL/TSI0_CH12/ADC0_A9,Micro E,,I2C_SCL,,PMOD,,,,,,,PMOD_FC0_SPI_CLK
P0_18,0,18,C10,2,ALT0,"D2, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_18/EWM0_IN/FC0_P2/CT0_MAT2/FLEXIO0_D2/HSCMP0_OUT/PDM0_DATA1/TSI0_CH13/ADC0_A10,Micro E,,MicroE_FC0_TXD,,PMOD,PDM,TOUCH,,,,,PMOD_FC0_SPI_MISO
P0_19,0,19,C9,3,ALT0,"D3, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_19/WUU0_IN3/EWM0_OUT_b/FC0_P3/CT0_MAT3/FLEXIO0_D3/HSCMP1_OUT/TSI0_CH14/ADC0_A11,Micro E,,MicroE_FC0_RXD,,PMOD,,TOUCH,,,,,PMOD_FC0_SPI_CS
P0_20,0,20,C8,4,ALT0,"D4, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_20/WUU0_IN4/FC0_P4/FC1_P0/CT_INP0/FLEXIO0_D4/I3C0_SDA/TSI0_CH15/ADC0_A12,PMOD,,PMOD_INT,,PMOD,,TOUCH,,,,,PMOD_INT
P0_21,0,21,A8,5,ALT0,"D5, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_21/FC0_P5/FC1_P1/CT_INP1/FLEXIO0_D5/I3C0_SCL/TSI0_CH16/ADC0_A13,TSI,TSI,,,,,TOUCH,,,,,
P0_22,0,22,B8,6,ALT0,"D6, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_22/EWM0_IN/FC0_P6/FC1_P2/CT_INP2/FLEXIO0_D6/I3C0_PUR/ADC0_A14/CMP1_IN2,P0_22,,P0_22,,Arduino,,,,,ARD_A3,,
P0_23,0,23,B7,7,ALT0,"D7, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO0_23/WUU0_IN5/EWM0_OUT_b/FC1_P3/CT_INP3/FLEXIO0_D7/ADC0_A15/CMP2_IN2,P0_23,,P0_23,,Arduino,,SW_wakeup,,,ARD_A5,,
P1_0,1,0,C6,8,ALT0,"D8, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_0/WUU0_IN6/LPTMR0_ALT3/TRIG_IN0/FC3_P0/FC4_P4/CT_INP4/SCT0_OUT6/FLEXIO0_D8/SAI1_TX_BCLK/TSI0_CH0/ADC0_A16/CMP0_IN0,PMOD,,SPI_SDO,,Micro E,,TOUCH,,,,FC3_I2C_SDA,
P1_1,1,1,C5,9,ALT0,"D9, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_1/TRIG_IN1/FC3_P1/FC4_P5/CT_INP5/SCT0_OUT7/FLEXIO0_D9/SAI1_TX_FS/TSI0_CH1/ADC0_A17/CMP1_IN0,PMOD,,SPI_SCK,,Micro E,,TOUCH,,,,FC3_I2C_SCL,
P1_2,1,2,C4,10,ALT0,"D10, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_2/TRIG_OUT0/FC3_P2/FC4_P6/CT1_MAT0/SCT0_IN6/FLEXIO0_D10/ENET0_MDC/SAI1_TXD0/CAN0_TXD/TSI0_CH2/ADC0_A18/CMP2_IN0,PMOD,,SPI_SDI,,Arduino,,,,,CT1_MAT0-ARD_D6,,
P1_3,1,3,B4,11,ALT0,"D11, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_3/WUU0_IN7/TRIG_OUT1/FC3_P3/CT1_MAT1/SCT0_IN7/FLEXIO0_D11/ENET0_MDIO/SAI1_RXD0/CAN0_RXD/TSI0_CH3/ADC0_A19/CMP0_IN1,PMOD,,SPI_PCS0,,Micro E,,,,,,ME_RESET,
P1_4,1,4,A4,12,ALT0,"D12, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_4/WUU0_IN8/FREQME_CLK_IN0/FC3_P4/FC5_P0/CT1_MAT2/SCT0_OUT0/FLEXIO0_D12/SMARTDMA_PIO0/ENET0_TX_CLK/SAI0_TXD1/TSI0_CH4/ADC0_A20/CMP0_IN2,EZH,,EZH_PIO0/SAI0_TXD1,EZH/CAMERA,,Ethernet,,,EZH_LCD_D0_CAMERA_D0,,,
P1_5,1,5,B3,13,ALT0,"D13, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_5/FREQME_CLK_IN1/FC3_P5/FC5_P1/CT1_MAT3/SCT0_OUT1/FLEXIO0_D13/SMARTDMA_PIO1/ENET0_TXEN/SAI0_RXD1/TSI0_CH5/ADC0_A21/CMP0_IN3,EZH,,EZH_PIO1,EZH/CAMERA,,Ethernet,,,EZH_LCD_D1_CAMERA_D1,,,
P1_6,1,6,B2,14,ALT0,"D14, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_6/TRIG_IN2/FC3_P6/FC5_P2/CT_INP6/SCT0_IN0/FLEXIO0_D14/SMARTDMA_PIO2/ENET0_TXD0/SAI1_RX_BCLK/CAN1_TXD/TSI0_CH6/ADC0_A22,EZH,,EZH_PIO2,EZH/CAMERA,,Ethernet,,,EZH_LCD_D2_CAMERA_D2,,,
P1_7,1,7,A2,15,ALT0,"D15, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_7/WUU0_IN9/TRIG_OUT2/FC5_P3/CT_INP7/SCT0_IN1/FLEXIO0_D15/SMARTDMA_PIO3/PLU_CLK/ENET0_TXD1/SAI1_RX_FS/CAN1_RXD/TSI0_CH7/ADC0_A23,EZH,,EZH_PIO3,EZH/CAMERA,,Ethernet,,,EZH_LCD_D3_CAMERA_D3,,,
P1_8,1,8,A1,16,ALT0,"D16, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_8/WUU0_IN10/LPTMR1_ALT3/TRACE_DATA0/FC4_P0/FC5_P4/CT_INP8/SCT0_OUT2/FLEXIO0_D16/SMARTDMA_PIO4/PLU_OUT0/ENET0_TXD2/I3C1_SDA/TSI0_CH17/ADC1_A8,EZH,,EZH_PIO4,,,VCOM_UART,,,,,,
P1_9,1,9,B1,17,ALT0,"D17, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_9/TRACE_DATA1/FC4_P1/FC5_P5/CT_INP9/SCT0_OUT3/FLEXIO0_D17/SMARTDMA_PIO5/PLU_OUT1/ENET0_TXD3/I3C1_SCL/TSI0_CH18/ADC1_A9,EZH,,EZH_PIO5,,,VCOM_UART,,,,,,
P1_10,1,10,C3,18,ALT0,"D18, TRG_CH0, TRG_CH1, TRG_CH2, TRG_CH3, TRG_CH4, TRG_CH5, TRG_CH6, TRG_CH7",PIO1_10/TRACE_DATA2/FC4_P2/FC5_P6/CT2_MAT0/SCT0_IN2/FLEXIO0_D18/SMARTDMA_PIO6/PLU_IN0/ENET0_TXER/CAN0_TXD/TSI0_CH19/ADC1_A10,EZH,,EZH_PIO6,EZH/CAMERA,,CAN_TXD,TOUCH,,EZH_LCD_D6_CAMERA_D6,,,
